Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_at_rad,cpcs_at_rad,Centricity - CCG PACS,HCA 5.6,Centricity - CCG PACS,radord_mt_in,radord,mt,mt,Meditech,in,,,10580,*default*,radord_pacs_out,radord,pacs,gehc,GE,out,,10.227.120.8,9928,2
cpcs_at_otr,cpcs_at_otr,HCA 5.6,Optiflex,Optiflex,chrg_oflx_in,chrg,oflx,omnicl,Omnicell,in,,MSSQL_OPX_AT,,*default*,chrg_mt_out_ofx,chrg,mt,mt,Meditech,out,ofx,FLEA.clinical.medcity.net,,2
cpcs_at_otr,cpcs_at_otr,SMART,Optiflex,Optiflex to SMART,mmrepl_oflx_in,mmrepl,oflx,omnicl,Omnicell,in,,MSSQL_OPX_AT,,*default*,mmrepl_smrt_out,mmrepl,smrt,hca,HCA,out,,mmdu.01643.colhca.com,,2
cpcs_at_otr,cpcs_at_otr,HCA 5.6,Centricity MUSE,Centricity MUSE,chrg_muse_in,chrg,muse,gehc,GE,in,,,10216,*default*,chrg_mt_out_muse,chrg,mt,mt,Meditech,out,muse,FLEA.clinical.medcity.net,,2
cpcs_at_oe,cpcs_at_oe,Centricity MUSE,HCA 5.6,Centricity MUSE,oeord_mt_in,oeord,mt,mt,Meditech,in,,,10641,*default*,oeord_muse_out,oeord,muse,gehc,GE,out,,10.227.89.228,11157,2
cpcs_at_oe,cpcs_at_oe,HCA 5.6,Centricity MUSE,Centricity MUSE,oerpt_muse_in,oerpt,muse,gehc,GE,in,,,10211,*default*,oerpt_mt_out_2,oerpt,mt,mt,Meditech,out,2,orclvp01.unix.medcity.net,15279,4
cpcs_at_oe,cpcs_at_oe,HCA 5.6,Multiple Vendor Feed,HCA 5.6,oerpt_multi_in_2,oerpt,multi,hcaeis,HCA D&IS,in,2,,15279,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,12801,4
cpcs_at_otr,cpcs_at_otr,Optiflex,SMART,SMART to Optiflex,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/30920/item,ITEM,multi_oflx_out,multi,oflx,omnicl,Omnicell,out,,MSSQL_OPX_AT,,2
cpcs_at_otr,cpcs_at_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/30920/item,ITEM,mmitem_mt_out,mmitem,mt,mt,Meditech,out,,FLEA.clinical.medcity.net,,2
cpcs_at_lab,cpcs_at_lab,HCare Hub,HCA 5.6,HCare Hub,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,11545,*default*,labrslt_mhub_out,labrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40512,2
cpcs_at_oe,cpcs_at_oe,HCare Hub,HCA 5.6,HCare Hub,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11546,*default*,oerpt_mhub_out,oerpt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40513,2
cpcs_at_rad,cpcs_at_rad,HCA 5.6,Centricity - CCG PACS,Centricity - CCG PACS,radurl_pacs_in,radurl,pacs,gehc,GE,in,,,12112,COCAT,radurl_mt_out,radurl,mt,mt,Meditech,out,,170.1.61.10,17242,2
cpcs_at_lab,cpcs_at_lab,HCare Hub,HCA 5.6,HCare Hub,pthrslt_mt_in,pthrslt,mt,mt,Meditech,in,,,12211,*default*,pthrslt_mhub_out,pthrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40515,2
cpcs_at_oe,cpcs_at_oe,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11546,*default*,oerpt_mids_out_diveflmids,oerpt,mids,mids,Midas+,out,diveflmids,orclvp01.unix.medcity.net,12792,4
cpcs_at_oe,div_efl_mids_oe,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in_cpcsatoe,oerpt,mt,mt,Meditech,in,cpcsatoe,,12792,*default*,oerpt_mids_out,oerpt,mids,mids,Midas+,out,,nadcwpdbsmds03.hca.corpad.net,12121,4
div_efl_mids_oe,div_efl_mids_oe,HCA 5.6,Care Management-Facility,Care Management-Facility,oerpt_mids_in,oerpt,mids,mids,Midas+,in,,,12776,COCAT,oerpt_mt_out_cpcsatoe,oerpt,mt,mt,Meditech,out,cpcsatoe,orclvp01.unix.medcity.net,12944,4
cpcs_at_otr,cpcs_at_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/30920/item,CHARGE,mmftp_mt_out,mmftp,mt,mt,Meditech,out,,FLEA.clinical.medcity.net,,2
cpcs_at_oe,cpcs_at_oe,HCA 5.6,MD - CMORE,MD - CMORE,oerpt_cmre_in,oerpt,cmre,prvtn,Provation,in,,,13190,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,12801,2
hsc_tam0_img2,hsc_tam0_img2,MPF-Patient Folder/HPF Facility,HCA 5.6,MPF-Patient Folder/HPF Facility,img_mt_in_cocat,img,mt,mt,Meditech,in,cocat,,/hci/home/mt/COCAT/convert,*default*,img_hpf_out_1,img,hpf,mcksn,McKesson,out,1,orclvp02.unix.medcity.net,10424,4
hsc_tam0_img2,hsc_tam0_img2,MPF-Patient Folder/HPF Facility,HealthSource,HealthSource to MPF-Patient Folder/HPF Facility,imgurl_esrt_in_cocat,imgurl,esrt,hltprt,Datavant/CIOX,in,cocat,,/hci/home/esrt/COCAT/trigger,*default*,img_hpf_out_2,img,hpf,mcksn,McKesson,out,2,orclvp02.unix.medcity.net,10425,4
div_efl_ipl1_edm,div_efl_ipl1_edm,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,edm_ipl_in_cocat,edm,ipl,ippl,iPeople,in,cocat,,10266,*default*,edm_bti_out_cocat,edm,bti,hcaeis,HCA D&IS,out,cocat,xrdcwpintbzt18c.hca.corpad.net,31001,2
div_efl_ipl1,div_efl_ipl1,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,nuras_ipl_in_cocat,nuras,ipl,ippl,iPeople,in,cocat,,10288,*default*,nuras_bti_out_cocat,nuras,bti,hcaeis,HCA D&IS,out,cocat,xrdcwpintbzt18b.hca.corpad.net,32001,2
div_efl_ipl1_pha,div_efl_ipl1_pha,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,phaadm_ipl_in_cocat,phaadm,ipl,ippl,iPeople,in,cocat,,10297,*default*,phaadm_bti_out_cocat,phaadm,bti,hcaeis,HCA D&IS,out,cocat,xrdcwpintbzt18d.hca.corpad.net,34001,2
div_efl_ipl1,div_efl_ipl1,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,sch_ipl_in_cocat,sch,ipl,ippl,iPeople,in,cocat,,10302,*default*,sch_bti_out_cocat,sch,bti,hcaeis,HCA D&IS,out,cocat,xrdcwpintbzt18f.hca.corpad.net,33001,2
cpcs_at_lab,cpcs_at_lab,EIS Biztalk Platform,HCA 5.6,EIS Biztalk Platform,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,11545,*default*,labrslt_bti_out,labrslt,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt17c.hca.corpad.net,14001,2
cpcs_at_oe,cpcs_at_oe,EIS Biztalk Platform,HCA 5.6,EIS Biztalk Platform,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11546,*default*,oerpt_bti_out,oerpt,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt17b.hca.corpad.net,17002,2
