Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_cl_pha,cpcs_cl_pha,Theradoc,HCA 5.6,Theradoc,phaord_mt_in,phaord,mt,mt,Meditech,in,,,12227,*default*,phaord_tdoc_out,phaord,tdoc,hspra,Hospira,out,,xrdctdochl7int03.hca.corpad.net,17007,2
cpcs_cl_pha,cpcs_cl_pha,Theradoc,iPeople,Theradoc,phaadm_ipl_in,phaadm,ipl,ippl,iPeople,in,,,12480,*default*,phaadm_tdoc_out,phaadm,tdoc,hspra,Hospira,out,,xrdctdochl7int03.hca.corpad.net,17006,2
cpcs_cl_lab,cpcs_cl_lab,LabCorp,HCA 5.6,LabCorp,rlabo_mt_in_labc,rlabo,mt,mt,Meditech,in,labc,,10158,*default*,rlabo_labc_out,rlabo,labc,labc,LabCorp,out,,10.65.29.33,28279,2
cpcs_cl_lab,cpcs_cl_lab,HCA 5.6,LabCorp,LabCorp,rlabr_labc_in,rlabr,labc,labc,LabCorp,in,,,61223,*default*,rlabr_mt_out_labc,rlabr,mt,mt,Meditech,out,labc,,10161,2
cpcs_cl_lab,cpcs_cl_lab,HCA 5.6,MAS RALS-Plus,MAS RALS-Plus,labpoc_rals_in,labpoc,rals,alere,Alere,in,,,10277,*default*,labpoc_mt_out,labpoc,mt,mt,Meditech,out,,,10278,2
cpcs_cl_otr,cpcs_cl_otr,HCA 5.6,Optiflex,Optiflex,chrg_oflx_in,chrg,oflx,omnicl,Omnicell,in,,MSSQL_OPX_CL,,*default*,chrg_mt_out_ofx,chrg,mt,mt,Meditech,out,ofx,TXAK.clinical.medcity.net,,2
cpcs_cl_otr,cpcs_cl_otr,SMART,Optiflex,Optiflex to SMART,mmrepl_oflx_in,mmrepl,oflx,omnicl,Omnicell,in,,MSSQL_OPX_CL,,*default*,mmrepl_smrt_out,mmrepl,smrt,hca,HCA,out,,mmdu.01533.colhca.com,,2
cpcs_cl_rad,div_gcd_horz,Horizon Imaging,HCA 5.6,Horizon Imaging,radord_mt_in_cpcscl,radord,mt,mt,Meditech,in,cpcscl,,10583,*default*,radord_horz_out,radord,horz,mcksn,McKesson,out,,10.195.204.74,9633,4
cpcs_cl_rad,cpcs_cl_rad,Horizon Imaging,HCA 5.6,Horizon Imaging,radord_mt_in,radord,mt,mt,Meditech,in,,,10016,*default*,radord_horz_out_divgcdhorz,radord,horz,mcksn,McKesson,out,divgcdhorz,"gcaclvp01.unix.medcity.net ",10583,4
cpcs_cl_rad,div_gcd_horz,Horizon Imaging,HCA 5.6,Horizon Imaging,radrslt_mt_in_cpcscl,radrslt,mt,mt,Meditech,in,cpcscl,,10584,*default*,radrslt_horz_out,radrslt,horz,mcksn,McKesson,out,,10.195.204.74,9633,4
cpcs_cl_rad,cpcs_cl_rad,Horizon Imaging,HCA 5.6,Horizon Imaging,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,10014,*default*,radrslt_horz_out_divgcdhorz,radrslt,horz,mcksn,McKesson,out,divgcdhorz,gcaclvp01.unix.medcity.net,10584,4
div_gcd_mids_oe,div_gcd_mids_oe,Care Management-Facility,Care Management-Facility,Care Management-Facility to Care Management-Facility,oerpt_mids_in_3,oerpt,mids,mids,Midas+,in,3,,17870,COCCL,oerpt_mids_out_cpcscloe,oerpt,mids,mids,Midas+,out,cpcscloe,gcaclvp01.unix.medcity.net,15123,8
