Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_hr_rad,cpcs_ica,HCA 5.6,Centricity - CCG PACS,Centricity - CCG PACS,riurl_pacs_in_cpcshrad,riurl,pacs,gehc,GE,in,cpcshrad,,13062,*default*,riurl_mt_out,riurl,mt,mt,Meditech,out,,170.1.97.85,10403,4
cpcs_hr,hsc_rch0_360e_adt,360 Encompass,HCA 5.6,360 Encompass,adt_mt_in_cpcshradt,adt,mt,mt,Meditech,in,cpcshradt,,13923,ADT_A17,adt_360e_out_preprod_2,adt,360e,3m,3M,out,preprod_2,10.230.52.213,8940,6
cpcs_hr,hsc_rch0_360e_adt,360 Encompass,HCA 5.6,360 Encompass,adt_mt_in_cpcshradt,adt,mt,mt,Meditech,in,cpcshradt,,13923,ADT_AXX,adt_360e_out_prod_2,adt,360e,3m,3M,out,prod_2,10.230.52.153,8940,6
cpcs_hra_otr,cpcs_hra_otr,SMART,Optiflex,Optiflex to SMART,mmrepl_oflx_in,mmrepl,oflx,omnicl,Omnicell,in,,MSSQL_OPX_HRA,,*default*,mmrepl_smrt_out,mmrepl,smrt,hca,HCA,out,,mmdu.26950.colhca.com,,2
cpcs_hra_otr,cpcs_hra_otr,Optiflex,SMART,SMART to Optiflex,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/26950/item,PAR,multi_oflx_out,multi,oflx,omnicl,Omnicell,out,,MSSQL_OPX_HRA,,2
cpcs_hra_otr,cpcs_hra_otr,HCA 5.6,Optiflex,Optiflex,chrg_oflx_in,chrg,oflx,omnicl,Omnicell,in,,MSSQL_OPX_HRA,,*default*,chrg_mt_out_oflx,chrg,mt,mt,Meditech,out,oflx,FLKC.clinical.medcity.net,,2
cpcs_hra_otr,cpcs_hra_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/26950/item,ITEM,mmitem_mt_out,mmitem,mt,mt,Meditech,out,,FLKC.clinical.medcity.net,,2
cpcs_hra_otr,cpcs_hra_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/26950/item,CHARGE,mmftp_mt_out,mmftp,mt,mt,Meditech,out,,FLKC.clinical.medcity.net,,2
div_efl_ipl3_edm,div_efl_ipl3_edm,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,edm_ipl_in_cochra,edm,ipl,ippl,iPeople,in,cochra,,13438,*default*,edm_bti_out_cochra,edm,bti,hcaeis,HCA D&IS,out,cochra,10.230.5.222,31174,2
div_efl_ipl3_nuras,div_efl_ipl3_nuras,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,nuras_ipl_in_cochra,nuras,ipl,ippl,iPeople,in,cochra,,13439,*default*,nuras_bti_out_cochra,nuras,bti,hcaeis,HCA D&IS,out,cochra,10.230.5.221,32175,2
div_efl_ipl3_pha,div_efl_ipl3_pha,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,phaadm_ipl_in_cochra,phaadm,ipl,ippl,iPeople,in,cochra,,13440,*default*,phaadm_bti_out_cochra,phaadm,bti,hcaeis,HCA D&IS,out,cochra,10.230.5.223,34175,2
div_efl_ipl3,div_efl_ipl3,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,sch_ipl_in_cochra,sch,ipl,ippl,iPeople,in,cochra,,13441,*default*,sch_bti_out_cochra,sch,bti,hcaeis,HCA D&IS,out,cochra,10.230.5.225,33174,2
div_efl_ipl3_nuras,div_efl_iodn_nuras,Iodine-Facility,iPeople MT56,Iodine-Facility,nuras_ipl_in_diveflipl3_cochra,nuras,ipl,ippl,iPeople,in,diveflipl3_cochra,,14546,*default*,nuras_iodn_out,nuras,iodn,iodn,Iodine Software,out,,10.65.70.48,53917,4
div_efl_ipl3_nuras,div_efl_ipl3_nuras,iPeople MT56,iPeople MT56,iPeople MT56,nuras_ipl_in_cochra,nuras,ipl,ippl,iPeople,in,cochra,,13439,*default*,nuras_ipl_out_divefliodnnuras_cochra,nuras,ipl,ippl,iPeople,out,divefliodnnuras_cochra,orclvp01.unix.medcity.net,14546,4
cpcs_hra_lab,cpcs_hra_lab,Iodine-Facility,HCA 5.6,Iodine-Facility,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,14549,*default*,multi_iodn_out_divefliodn,multi,iodn,iodn,Iodine Software,out,divefliodn,orclvp01.unix.medcity.net,14542,6
cpcs_hra_lab,div_efl_iodn,Iodine-Facility,HCA 5.6,Iodine-Facility,labrslt_mt_in_2,labrslt,mt,mt,Meditech,in,2,,17974,*default*,labrslt_iodn_out,labrslt,iodn,iodn,Iodine Software,out,,10.65.70.48,53911,6
cpcs_hra_oe,cpcs_hra_oe,Iodine-Facility,HCA 5.6,Iodine-Facility,oeord_mt_in,oeord,mt,mt,Meditech,in,,,14550,*default*,oeord_iodn_out_divefliodn,oeord,iodn,iodn,Iodine Software,out,divefliodn,orclvp01.unix.medcity.net,14547,6
cpcs_hra_oe,div_efl_iodn_oe,Iodine-Facility,HCA 5.6,Iodine-Facility,oeord_mt_in_2,oeord,mt,mt,Meditech,in,2,,17992,*default*,oeord_iodn_out,oeord,iodn,iodn,Iodine Software,out,,10.65.70.48,53914,6
cpcs_hra_oe,cpcs_hra_oe,Iodine-Facility,HCA 5.6,Iodine-Facility,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,14551,*default*,oerpt_iodn_out_divefliodn,oerpt,iodn,iodn,Iodine Software,out,divefliodn,orclvp01.unix.medcity.net,14548,6
cpcs_hra_oe,div_efl_iodn_oe,Iodine-Facility,HCA 5.6,Iodine-Facility,oerpt_mt_in_2,oerpt,mt,mt,Meditech,in,2,,17977,*default*,oerpt_iodn_out,oerpt,iodn,iodn,Iodine Software,out,,10.65.70.48,53916,6
cpcs_hra_pha,cpcs_hra_pha,Iodine-Facility,HCA 5.6,Iodine-Facility,phaord_mt_in,phaord,mt,mt,Meditech,in,,,14552,*default*,phaord_iodn_out_divefliodn,phaord,iodn,iodn,Iodine Software,out,divefliodn,orclvp01.unix.medcity.net,14543,6
cpcs_hra_pha,div_efl_iodn,Iodine-Facility,HCA 5.6,Iodine-Facility,phaord_mt_in_2,phaord,mt,mt,Meditech,in,2,,17987,*default*,phaord_iodn_out,phaord,iodn,iodn,Iodine Software,out,,10.65.70.48,53915,6
cpcs_hra_rad,cpcs_hra_rad,Iodine-Facility,HCA 5.6,Iodine-Facility,radord_mt_in,radord,mt,mt,Meditech,in,,,14553,*default*,radord_iodn_out_divefliodnrad,radord,iodn,iodn,Iodine Software,out,divefliodnrad,orclvp01.unix.medcity.net,14544,6
cpcs_hra_rad,div_efl_iodn_rad,Iodine-Facility,HCA 5.6,Iodine-Facility,radord_mt_in_2,radord,mt,mt,Meditech,in,2,,17979,*default*,radord_iodn_out,radord,iodn,iodn,Iodine Software,out,,10.65.70.48,53912,6
cpcs_hra_rad,cpcs_hra_rad,Iodine-Facility,HCA 5.6,Iodine-Facility,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,14554,*default*,radrslt_iodn_out_divefliodnrad,radrslt,iodn,iodn,Iodine Software,out,divefliodnrad,orclvp01.unix.medcity.net,14545,6
cpcs_hra_rad,div_efl_iodn_rad,Iodine-Facility,HCA 5.6,Iodine-Facility,radrslt_mt_in_2,radrslt,mt,mt,Meditech,in,2,,17994,*default*,radrslt_iodn_out,radrslt,iodn,iodn,Iodine Software,out,,10.65.70.48,53913,6
div_efl_conx,div_efl_conx,HCA 5.6,Connex CS,Connex CS,cmr_conx_in_4,cmr,conx,hillrwa,Hill-Rom/Welch Allyn,in,4,,13575,COCHRA,cmr_mt_out_cpcshra,cmr,mt,mt,Meditech,out,cpcshra,orclvp01.unix.medcity.net,14558,4
cpcs_hra_lab,cpcs_hra_lab,HCare Hub,HCA 5.6,HCare Hub,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,14549,*default*,labrslt_mhub_out,labrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,41168,2
cpcs_hra_lab,cpcs_hra_lab,HCare Hub,HCA 5.6,HCare Hub,pthrslt_mt_in,pthrslt,mt,mt,Meditech,in,,,15524,*default*,pthrslt_mhub_out,pthrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,41171,2
cpcs_hra_oe,cpcs_hra_oe,HCare Hub,HCA 5.6,HCare Hub,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,14551,*default*,oerpt_mhub_out,oerpt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,41169,2
cpcs_hra_rad,cpcs_hra_rad,HCare Hub,HCA 5.6,HCare Hub,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,14554,*default*,radrslt_mhub_out,radrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,41170,2
cpcs_hra_oe,cpcs_hra_oe,HCA 5.6,DocEP,DocEP,oerpt_dcep_in,oerpt,dcep,mmdl,AQuity Solutions,in,,,14382,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,14381,2
cpcs_hra_oe,cpcs_hra_oe,MPF-Patient Folder/HPF Facility,HCA 5.6,MPF-Patient Folder/HPF Facility,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,14551,*default*,multi_hpf_out,multi,hpf,mcksn,McKesson,out,,10.27.32.15,6680,2
cpcs_hra_rad,cpcs_hra_oe,MPF-Patient Folder/HPF Facility,HCA 5.6,MPF-Patient Folder/HPF Facility,radrslt_mt_in_cpcshrarad,radrslt,mt,mt,Meditech,in,cpcshrarad,,14385,*default*,multi_hpf_out,multi,hpf,mcksn,McKesson,out,,10.27.32.15,6680,4
cpcs_hra_rad,cpcs_hra_rad,HCA 5.6,HCA 5.6,HCA 5.6,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,14554,*default*,radrslt_mt_out_cpcshraoe,radrslt,mt,mt,Meditech,out,cpcshraoe,orclvp01.unix.medcity.net,14385,4
cpcs_hra_oe,div_efl_mids_oe,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in_cpcshraoe,oerpt,mt,mt,Meditech,in,cpcshraoe,,14565,*default*,oerpt_mids_out,oerpt,mids,mids,Midas+,out,,nadcwpdbsmds03.hca.corpad.net,12121,4
cpcs_hra_oe,cpcs_hra_oe,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,14551,*default*,oerpt_mids_out_diveflmids,oerpt,mids,mids,Midas+,out,diveflmids,orclvp01.unix.medcity.net,14565,4
cpcs_hra_rad,div_efl_mids,Care Management-Facility,HCA 5.6,Care Management-Facility,radrslt_mt_in_cpcshrarad,radrslt,mt,mt,Meditech,in,cpcshrarad,,14564,*default*,radrslt_mids_out_2,radrslt,mids,mids,Midas+,out,2,orclvp01.unix.medcity.net,12986,6
cpcs_hra_rad,cpcs_hra_rad,Care Management-Facility,HCA 5.6,Care Management-Facility,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,14554,*default*,radrslt_mids_out_diveflmids,radrslt,mids,mids,Midas+,out,diveflmids,orclvp01.unix.medcity.net,14564,6
cpcs_hra_rad,div_efl_mids,Care Management-Facility,HCA 5.6,Care Management-Facility,radrslt_mt_in_2,radrslt,mt,mt,Meditech,in,2,,12986,*default*,radrslt_mids_out,radrslt,mids,mids,Midas+,out,,nadcwpdbsmds03.hca.corpad.net,12122,6
div_efl_mids_oe,div_efl_mids_oe,HCA 5.6,Care Management-Facility,Care Management-Facility,oerpt_mids_in,oerpt,mids,mids,Midas+,in,,,12776,COCHRA,oerpt_mt_out_cpcshraoe,oerpt,mt,mt,Meditech,out,cpcshraoe,orclvp01.unix.medcity.net,14571,4
hsc_tam_pk_eps,hsc_tam_pk_eps,HCA 5.6,Portal,Portal,eps_pkp_in_FLK,eps,pkp,ptkpr,Patient Keeper,in,FLK,,10237,COCHRA,eps_mt_out_cpcshra,eps,mt,mt,Meditech,out,cpcshra,orclvp01.unix.medcity.net,15315,4
hsc_tam0_epdf_pk,hsc_tam0_epdf_pk,HCA 5.6,Portal,Portal,oerpt_pkp_in_FLK,oerpt,pkp,ptkpr,Patient Keeper,in,FLK,,10238,COCHRA,oerpt_mt_out_cpcshra,oerpt,mt,mt,Meditech,out,cpcshra,orclvp01.unix.medcity.net,15317,4
hsc_tam0_img_onbs,hsc_tam0_img_onbs,MPF-Patient Folder/HPF Facility,Onbase,Onbase to MPF-Patient Folder/HPF Facility,imgurl_onbs_in_cochra,imgurl,onbs,hylnd,Hyland,in,cochra,,10265,*default*,img_hpf_out_1,img,hpf,mcksn,McKesson,out,1,orclvp02.unix.medcity.net,10413,4
cpcs_hra_adt,cpcs_hra_adt,Optiflex,HCA 5.6,Optiflex,adt_mt_in_1,adt,mt,mt,Meditech,in,1,,15386,*default*,adt_oflx_out,adt,oflx,omnicl,Omnicell,out,,MSSQL_OPX_HRA,,4
cpcs_hra_adt,cpcs_hra_adt,SMART,HCA 5.6,SMART,adt_mt_in_1,adt,mt,mt,Meditech,in,1,,15386,*default*,adt_smrt_out,adt,smrt,hca,HCA,out,,mmdu.26950.colhca.com,/mm03/data,4
cpcs_hra_adt,cpcs_hra_adt,Cloudera Kafka,HCA 5.6,Cloudera Kafka,adt_mt_in_1,adt,mt,mt,Meditech,in,1,,15386,*default*,adt_kfka_out_hl7cliadt,adt,kfka,hca,HCA,out,hl7cliadt,intserv.cloverleaf.hl7-cli-adt.1.0.0,,4
cpcs_hra_adt,cpcs_hra_adt,Waterpark,HCA 5.6,Waterpark,adt_mt_in_1,adt,mt,mt,Meditech,in,1,,15386,*default*,adt_wp_out,adt,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,4
cpcs_hra_adt,cpcs_hra_adt,Healthcare Data Engine - HDE,HCA 5.6,Healthcare Data Engine - HDE,adt_mt_in_1,adt,mt,mt,Meditech,in,1,,15386,*default*,multi_hde_out,multi,hde,gcp,Google,out,,172.21.148.6,2575,4
cpcs_hra_adt,cpcs_hra_adt,Healthcare Data Engine - HDE,HCA 5.6,Healthcare Data Engine - HDE,adt_mt_in_1,adt,mt,mt,Meditech,in,1,,15386,*default*,multi_hde_out_stg,multi,hde,gcp,Google,out,stg,172.21.147.5,2575,4
cpcs_hra_adt,cpcs_hra_adt,Onbase RX-ADT/Link Orders,HCA 5.6,Onbase RX-ADT/Link Orders,adt_mt_in_1,adt,mt,mt,Meditech,in,1,,15386,*default*,adt_orx_out,adt,orx,hylnd,Hyland,out,,obphl7e-orx-x1.hca.corpad.net,7104,4
cpcs_hra_adt,cpcs_hra_adt,Medaxion Pulse,HCA 5.6,Medaxion Pulse,adt_mt_in_1,adt,mt,mt,Meditech,in,1,,15386,*default*,adt_medp_out,adt,medp,medp,"Medaxion ",out,,10.65.74.125,10575,4
cpcs_hra_adt,div_efl_dbmo_adt,Cloudera Kafka,HCA 5.6,Cloudera Kafka,adt_mt_in_cpcshraadt,adt,mt,mt,Meditech,in,cpcshraadt,,10874,ADT_A17,adt_kfka_out_hl7dbmncliadt1,adt,kfka,hca,HCA,out,hl7dbmncliadt1,intserv.cloverleaf.hl7-dbmo-adt.1.0.0,,6
cpcs_hra_adt,cpcs_hra_adt,db Motion,HCA 5.6,db Motion,adt_mt_in_1,adt,mt,mt,Meditech,in,1,,15386,*default*,adt_dbmo_out_divefldbmoadt,adt,dbmo,dbmo,dbMotion,out,divefldbmoadt,orclvp01.unix.medcity.net,10874,6
cpcs_hra_adt,div_efl_conx,Connex CS,HCA 5.6,Connex CS,adt_mt_in_cpcshra,adt,mt,mt,Meditech,in,cpcshra,,14557,*default*,adt_conx_out_4,adt,conx,hillrwa,Hill-Rom/Welch Allyn,out,4,10.159.47.31,8001,6
cpcs_hra_adt,cpcs_hra_adt,Connex CS,HCA 5.6,Connex CS,adt_mt_in_2,adt,mt,mt,Meditech,in,2,,15387,*default*,adt_conx_out_diveflconx,adt,conx,hillrwa,Hill-Rom/Welch Allyn,out,diveflconx,orclvp01.unix.medcity.net,14557,6
