Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
div_efl_ipl1_pha,div_efl_ipl1_pha,Theradoc,iPeople MT56,Theradoc,phaadm_ipl_in_cockn,phaadm,ipl,ippl,iPeople,in,cockn,,10299,*default*,phaadm_tdoc_out_cockn,phaadm,tdoc,hspra,Hospira,out,cockn,xrdctdochl7int01.hca.corpad.net,16016,2
cpcs_kn_lab,cpcs_kn_lab,NeoData,HCA 5.6,NeoData,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,11520,*default*,labrslt_neod_out,labrslt,neod,isopr,IsoPrime,out,,10.159.86.235,5402,2
cpcs_kn_rad,cpcs_kn_rad,Centricity - CCG PACS,HCA 5.6,Centricity - CCG PACS,radord_mt_in,radord,mt,mt,Meditech,in,,,10165,*default*,radord_pacs_out,radord,pacs,gehc,GE,out,,10.227.120.8,9558,2
cpcs_kn_otr,cpcs_kn_otr,HCA 5.6,Optiflex,Optiflex,chrg_oflx_in,chrg,oflx,omnicl,Omnicell,in,,MSSQL_OPX_KN,,*default*,chrg_mt_out_ofx,chrg,mt,mt,Meditech,out,ofx,FLAA.clinical.medcity.net,,2
cpcs_kn_otr,cpcs_kn_otr,SMART,Optiflex,Optiflex to SMART,mmrepl_oflx_in,mmrepl,oflx,omnicl,Omnicell,in,,MSSQL_OPX_KN,,*default*,mmrepl_smrt_out,mmrepl,smrt,hca,HCA,out,,mmdu.01356.colhca.com,,2
cpcs_kn_otr,cpcs_kn_otr,HCA 5.6,Centricity MUSE,Centricity MUSE,chrg_muse_in_muse,chrg,muse,gehc,GE,in,muse,,10229,*default*,chrg_mt_out_muse,chrg,mt,mt,Meditech,out,muse,FLAA.clinical.medcity.net,,2
cpcs_kn_oe,cpcs_kn_oe,Centricity MUSE,HCA 5.6,Centricity MUSE,oeord_mt_in,oeord,mt,mt,Meditech,in,,,10219,*default*,oeord_muse_out,oeord,muse,gehc,GE,out,,10.227.89.228,11218,2
cpcs_kn_oe,cpcs_kn_oe,HCA 5.6,Centricity MUSE,Centricity MUSE,oerpt_muse_in,oerpt,muse,gehc,GE,in,,,10226,*default*,oerpt_mt_out_1,oerpt,mt,mt,Meditech,out,1,orclvp01.unix.medcity.net,15318,4
cpcs_kn_oe,cpcs_kn_oe,HCA 5.6,Multiple Vendor Feed,HCA 5.6,oerpt_multi_in_1,oerpt,multi,hcaeis,HCA D&IS,in,1,,15318,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,10251,4
cpcs_kn_otr,cpcs_kn_otr,Optiflex,SMART,SMART to Optiflex,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/35941/item,ITEM,multi_oflx_out,multi,oflx,omnicl,Omnicell,out,,MSSQL_OPX_KN,,2
cpcs_kn_otr,cpcs_kn_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/35941/item,ITEM,mmitem_mt_out,mmitem,mt,mt,Meditech,out,,FLAA.clinical.medcity.net,,2
cpcs_kn_lab,cpcs_kn_lab,HCare Hub,HCA 5.6,HCare Hub,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,11520,*default*,labrslt_mhub_out,labrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40487,2
cpcs_kn_oe,cpcs_kn_oe,HCare Hub,HCA 5.6,HCare Hub,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11521,*default*,oerpt_mhub_out,oerpt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40488,2
cpcs_kn_oe,cpcs_kn_oe,HCA 5.6,MD - CMORE,MD - CMORE,oerpt_cmre_in,oerpt,cmre,prvtn,Provation,in,,,11866,*default*,oerpt_mt_out_1,oerpt,mt,mt,Meditech,out,1,orclvp01.unix.medcity.net,15318,4
cpcs_kn_oe,cpcs_kn_oe,HCA 5.6,Multiple Vendor Feed,HCA 5.6,oerpt_multi_in_1,oerpt,multi,hcaeis,HCA D&IS,in,1,,15318,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,10251,4
cpcs_kn_rad,cpcs_kn_rad,HCA 5.6,Centricity - CCG PACS,Centricity - CCG PACS,radurl_pacs_in,radurl,pacs,gehc,GE,in,,,12098,*default*,radurl_mt_out,radurl,mt,mt,Meditech,out,,170.1.4.10,17757,2
cpcs_kn_lab,cpcs_kn_lab,HCare Hub,HCA 5.6,HCare Hub,pthrslt_mt_in,pthrslt,mt,mt,Meditech,in,,,12221,*default*,pthrslt_mhub_out,pthrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40490,2
div_efl_mids_oe,div_efl_mids_oe,HCA 5.6,Care Management-Facility,Care Management-Facility,oerpt_mids_in,oerpt,mids,mids,Midas+,in,,,12776,COCKN,oerpt_mt_out_cpcsknoe,oerpt,mt,mt,Meditech,out,cpcsknoe,orclvp01.unix.medcity.net,12840,4
cpcs_kn_oe,cpcs_kn_oe,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11521,*default*,oerpt_mids_out_diveflmids,oerpt,mids,mids,Midas+,out,diveflmids,orclvp01.unix.medcity.net,12786,4
