Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_mhb_otr,cpcs_mhb_otr,HCA 5.6,Optiflex,Optiflex,chrg_oflx_in,chrg,oflx,omnicl,Omnicell,in,,MSSQL_OPX_MHB,,COCMHB,chrg_mt_out_ofx,chrg,mt,mt,Meditech,out,ofx,FLBA.clinical.medcity.net,,2
cpcs_mhb_otr,cpcs_mhb_otr,SMART,Optiflex,Optiflex to SMART,mmrepl_oflx_in,mmrepl,oflx,omnicl,Omnicell,in,,MSSQL_OPX_MHB,,*default*,mmrepl_smrt_out,mmrepl,smrt,hca,HCA,out,,mmdu.26110.colhca.com,,2
cpcs_mhb_otr,cpcs_mhb_otr,Optiflex,SMART,SMART to Optiflex,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/26110/item,ITEM,multi_oflx_out,multi,oflx,omnicl,Omnicell,out,,MSSQL_OPX_MHB,,2
cpcs_mhb_otr,cpcs_mhb_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/26110/item,CHARGE,mmftp_mt_out,mmftp,mt,mt,Meditech,out,,FLBA.clinical.medcity.net,,2
cpcs_mhb_otr,cpcs_mhb_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/26110/item,ITEM,mmitem_mt_out,mmitem,mt,mt,Meditech,out,,FLBA.clinical.medcity.net,,2
cpcs_mhb_rad,cpcs_mhb_rad,Centricity - CCG PACS,HCA 5.6,Centricity - CCG PACS,radord_mt_in,radord,mt,mt,Meditech,in,,,13721,*default*,radord_pacs_out,radord,pacs,gehc,GE,out,,10.227.120.8,23848,2
cpcs_mhb_rad,cpcs_mhb_rad,HCA 5.6,Centricity - CCG PACS,Centricity - CCG PACS,radurl_pacs_in,radurl,pacs,gehc,GE,in,,,13731,COCMHB,radurl_mt_out,radurl,mt,mt,Meditech,out,,170.1.5.10,23852,2
hsc_tam0_img2,hsc_tam0_img2,MPF-Patient Folder/HPF Facility,HCA 5.6,MPF-Patient Folder/HPF Facility,img_mt_in_cocmhb,img,mt,mt,Meditech,in,cocmhb,,/hci/home/mt/COCMHB/convert,*default*,img_hpf_out_1,img,hpf,mcksn,McKesson,out,1,orclvp02.unix.medcity.net,10424,4
cpcs_mhb_otr,cpcs_mhb_otr,HCA 5.6,Centricity MUSE,Centricity MUSE,chrg_muse_in,chrg,muse,gehc,GE,in,,,13723,*default*,chrg_mt_out_mus,chrg,mt,mt,Meditech,out,mus,FLBA.clinical.medcity.net,,2
cpcs_mhb_oe,cpcs_mhb_oe,Centricity MUSE,HCA 5.6,Centricity MUSE,oeord_mt_in,oeord,mt,mt,Meditech,in,,,13725,*default*,oeord_muse_out,oeord,muse,gehc,GE,out,,10.227.89.228,13326,2
