Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_qr_otr,cpcs_qr_otr,HCA 5.6,Optiflex,Optiflex,chrg_oflx_in,chrg,oflx,omnicl,Omnicell,in,,MSSQL_OPX_QR,,*default*,chrg_mt_out_ofx,chrg,mt,mt,Meditech,out,ofx,FLKC.clinical.medcity.net,,2
cpcs_qr_otr,cpcs_qr_otr,SMART,Optiflex,Optiflex to SMART,mmrepl_oflx_in,mmrepl,oflx,omnicl,Omnicell,in,,MSSQL_OPX_QR,,*default*,mmrepl_smrt_out,mmrepl,smrt,hca,HCA,out,,mmdu.00119.colhca.com,,2
cpcs_qr_rad,cpcs_qr_rad,Centricity - CCG PACS,HCA 5.6,Centricity - CCG PACS,radord_mt_in,radord,mt,mt,Meditech,in,,,10746,*default*,radord_pacs_out,radord,pacs,gehc,GE,out,,10.227.120.9,29518,2
cpcs_qr_lab,cpcs_qr_lab,LabCorp,HCA 5.6,LabCorp,rlabo_mt_in_labc,rlabo,mt,mt,Meditech,in,labc,,10864,*default*,rlabo_labc_out,rlabo,labc,labc,LabCorp,out,,10.65.29.33,28247,2
cpcs_qr_lab,cpcs_qr_lab,HCA 5.6,LabCorp,LabCorp,rlabr_labc_in,rlabr,labc,labc,LabCorp,in,,,61350,*default*,rlabr_mt_out_labc,rlabr,mt,mt,Meditech,out,labc,,10865,2
cpcs_qr_otr,cpcs_qr_otr,HCA 5.6,Centricity MUSE,Centricity MUSE,chrg_muse_in,chrg,muse,gehc,GE,in,,,10101,*default*,chrg_mt_out_muse,chrg,mt,mt,Meditech,out,muse,FLKC.clinical.medcity.net,,2
cpcs_qr_oe,cpcs_qr_oe,Centricity MUSE,HCA 5.6,Centricity MUSE,oeord_mt_in,oeord,mt,mt,Meditech,in,,,10103,*default*,oeord_muse_out,oeord,muse,gehc,GE,out,,10.227.89.228,10534,2
cpcs_qr_oe,cpcs_qr_oe,HCA 5.6,Centricity MUSE,Centricity MUSE,oerpt_muse_in,oerpt,muse,gehc,GE,in,,,10104,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,10376,2
cpcs_qr_otr,cpcs_qr_otr,Optiflex,SMART,SMART to Optiflex,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/30933/item,ITEM,multi_oflx_out,multi,oflx,omnicl,Omnicell,out,,MSSQL_OPX_QR,,2
cpcs_qr_oe,cpcs_qr_oe,HCA 5.6,DocEP,DocEP,oerpt_dcep_in,oerpt,dcep,mmdl,AQuity Solutions,in,,,11462,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,10376,2
cpcs_qr_lab,cpcs_qr_lab,HCare Hub,HCA 5.6,HCare Hub,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,11556,*default*,labrslt_mhub_out,labrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40532,2
cpcs_qr_oe,cpcs_qr_oe,HCare Hub,HCA 5.6,HCare Hub,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11557,*default*,oerpt_mhub_out,oerpt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40533,2
cpcs_qr_rad,cpcs_qr_rad,HCA 5.6,Centricity - CCG PACS,Centricity - CCG PACS,radurl_pacs_in,radurl,pacs,gehc,GE,in,,,12105,COCQR,radurl_mt_out,radurl,mt,mt,Meditech,out,,165.214.71.12,14614,2
cpcs_qr_lab,cpcs_qr_lab,HCare Hub,HCA 5.6,HCare Hub,pthrslt_mt_in,pthrslt,mt,mt,Meditech,in,,,12203,*default*,pthrslt_mhub_out,pthrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40535,2
cpcs_qr_oe,cpcs_qr_oe,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11557,*default*,oerpt_mids_out_diveflmids,oerpt,mids,mids,Midas+,out,diveflmids,orclvp01.unix.medcity.net,12803,4
cpcs_qr_oe,div_efl_mids_oe,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in_cpcsqroe,oerpt,mt,mt,Meditech,in,cpcsqroe,,12803,*default*,oerpt_mids_out,oerpt,mids,mids,Midas+,out,,nadcwpdbsmds03.hca.corpad.net,12121,4
cpcs_qr_otr,cpcs_qr_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/30933/item,CHARGE,mmftp_mt_out,mmftp,mt,mt,Meditech,out,,FLKC.clinical.medcity.net,,2
div_efl_ipl2_edm,div_efl_ipl2_edm,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,edm_ipl_in_cocqr,edm,ipl,ippl,iPeople,in,cocqr,,10318,*default*,edm_bti_out_cocqr,edm,bti,hcaeis,HCA D&IS,out,cocqr,xrdcwpintbzt18c.hca.corpad.net,31008,2
div_efl_ipl2,div_efl_ipl2,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,nuras_ipl_in_cocqr,nuras,ipl,ippl,iPeople,in,cocqr,,10337,*default*,nuras_bti_out_cocqr,nuras,bti,hcaeis,HCA D&IS,out,cocqr,xrdcwpintbzt18b.hca.corpad.net,32008,2
div_efl_ipl2,div_efl_ipl2,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,phaadm_ipl_in_cocqr,phaadm,ipl,ippl,iPeople,in,cocqr,,10342,*default*,phaadm_bti_out_cocqr,phaadm,bti,hcaeis,HCA D&IS,out,cocqr,xrdcwpintbzt18d.hca.corpad.net,34008,2
div_efl_ipl2,div_efl_ipl2,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,sch_ipl_in_cocqr,sch,ipl,ippl,iPeople,in,cocqr,,10353,*default*,sch_bti_out_cocqr,sch,bti,hcaeis,HCA D&IS,out,cocqr,xrdcwpintbzt18f.hca.corpad.net,33008,2
cpcs_qr_lab,cpcs_qr_lab,EIS Biztalk Platform,HCA 5.6,EIS Biztalk Platform,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,11556,*default*,labrslt_bti_out,labrslt,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt17c.hca.corpad.net,14008,2
cpcs_qr_oe,cpcs_qr_oe,EIS Biztalk Platform,HCA 5.6,EIS Biztalk Platform,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11557,*default*,oerpt_bti_out,oerpt,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt17b.hca.corpad.net,17009,2
cpcs_qr_pha,cpcs_qr_pha,EIS Biztalk Platform,HCA 5.6,EIS Biztalk Platform,phaord_mt_in,phaord,mt,mt,Meditech,in,,,10569,*default*,phaord_bti_out,phaord,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt17b.hca.corpad.net,12008,2
cpcs_qr_lab,cpcs_qr_lab,EIS Biztalk Platform,HCA 5.6,EIS Biztalk Platform,pthrslt_mt_in,pthrslt,mt,mt,Meditech,in,,,12203,*default*,pthrslt_bti_out,pthrslt,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt17c.hca.corpad.net,15008,2
cpcs_qr_rad,cpcs_qr_rad,EIS Biztalk Platform,HCA 5.6,EIS Biztalk Platform,radord_mt_in,radord,mt,mt,Meditech,in,,,10746,*default*,radord_bti_out,radord,bti,hcaeis,HCA D&IS,out,,xrdcwpintbzt17d.hca.corpad.net,13008,2
cpcs_qr_oe,cpcs_qr_oe,MPF-Patient Folder/HPF Facility,Centricity MUSE,Centricity MUSE to MPF-Patient Folder/HPF Facility,oerpt_muse_in,oerpt,muse,gehc,GE,in,,,10104,*default*,oerpt_hpf_out_hscopk0rpts,oerpt,hpf,mcksn,McKesson,out,hscopk0rpts,ordcupappclv01.unix.medcity.net,10229,6
cpcs_qr_oe,hsc_opk0_rpts1,MPF-Patient Folder/HPF Facility,Centricity MUSE,Centricity MUSE to MPF-Patient Folder/HPF Facility,oerpt_muse_in_cpcsqr,oerpt,muse,gehc,GE,in,cpcsqr,,10229,*default*,oerpt_hpf_out_2A,oerpt,hpf,mcksn,McKesson,out,2A,ordcupappclv01.unix.medcity.net,14268,6
cpcs_qr_oe,hsc_opk0_rpts1,MPF-Patient Folder/HPF Facility,Centricity MUSE,Centricity MUSE to MPF-Patient Folder/HPF Facility,oerpt_muse_in_2A,oerpt,muse,gehc,GE,in,2A,,14268,*default*,oerpt_hpf_out_2,oerpt,hpf,mcksn,McKesson,out,2,ORDCWPAPPHPF12A.hca.corpad.net,9021,6
cpcs_qr_oe,cpcs_qr_oe,MPF-Patient Folder/HPF Facility,HCA 5.6,MPF-Patient Folder/HPF Facility,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11557,*default*,multi_hpf_out,multi,hpf,mcksn,McKesson,out,,ORDCWPAPPHPF12B.hca.corpad.net,6522,2
hsc_opk0_hpfbill,hsc_opk0_hpfbill,ED Billing,MPF-Patient Folder/HPF Facility,MPF-Patient Folder/HPF Facility to ED Billing,bill_hpf_in_opk0,bill,hpf,mcksn,McKesson,in,opk0,,12442,COCQR,bill_emca_out_cocqr,bill,emca,emcr,Emcare,out,cocqr,edftp.reimbtech.com,./inbound,2
hsc_opk0_img1,hsc_opk0_img1,MPF-Patient Folder/HPF Facility,HealthSource,HealthSource to MPF-Patient Folder/HPF Facility,imgurl_esrt_in_cocqr,imgurl,esrt,hltprt,Datavant/CIOX,in,cocqr,,/hci/home/esrt/COCQR/trigger,*default*,img_hpf_out_2,img,hpf,mcksn,McKesson,out,2,orclvp02.unix.medcity.net,10293,4
hsc_opk0_img1,hsc_opk0_img1,MPF-Patient Folder/HPF Facility,HCA 5.6,MPF-Patient Folder/HPF Facility,img_mt_in_cocqr,img,mt,mt,Meditech,in,cocqr,,/hci/home/mt/COCQR/convert,*default*,img_hpf_out_1,img,hpf,mcksn,McKesson,out,1,orclvp02.unix.medcity.net,10292,4
hsc_opk0_img_onbs,hsc_opk0_img_onbs,MPF-Patient Folder/HPF Facility,Onbase,Onbase to MPF-Patient Folder/HPF Facility,imgurl_onbs_in_cocqr,imgurl,onbs,hylnd,Hyland,in,cocqr,,10090,*default*,img_hpf_out,img,hpf,mcksn,McKesson,out,,ORDCWPAPPHPF12A.hca.corpad.net,9050,2
