Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_uh_adt,div_efl_mids,Care Management-Facility,HCA 5.6,Care Management-Facility,adt_mt_in_cpcsuhadt,adt,mt,mt,Meditech,in,cpcsuhadt,,12782,*default*,adt_mids_out_1,adt,mids,mids,Midas+,out,1,orclvp01.unix.medcity.net,15281,8
cpcs_uh_adt,div_efl_iodn,Iodine-Facility,HCA 5.6,Iodine-Facility,adt_mt_in_cpcsuhadt,adt,mt,mt,Meditech,in,cpcsuhadt,,13771,*default*,adt_iodn_out,adt,iodn,iodn,Iodine Software,out,,10.65.70.48,53910,6
cpcs_uh_adt,div_efl_dolbey,Fusion Voice,HCA 5.6,Fusion Voice,adt_mt_in_cpcsuhadt,adt,mt,mt,Meditech,in,cpcsuhadt,,15646,*default*,adt_fvce_out_2,adt,fvce,dlby,Dolbey,out,2,10.159.76.10,9723,6
cpcs_uh_adt,div_efl_cma,Consent Management,HCA 5.6,Consent Management,adt_mt_in_cpcsuhadt,adt,mt,mt,Meditech,in,cpcsuhadt,,12257,*default*,adt_cma_out_entcma,adt,cma,ibm,IBM,out,entcma,naclvp01.unix.medcity.net,18673,8
cpcs_uh_adt,div_efl_init,Initiate,HCA 5.6,Initiate,adt_mt_in_cpcsuhadt,adt,mt,mt,Meditech,in,cpcsuhadt,,12499,*default*,adt_init_out_mt,adt,init,init,Initiate,out,mt,Xrdclpintpah01.unix.medcity.net,17004,6
cpcs_uh_adt,div_efl_init,Initiate,HCA 5.6,Initiate,adt_mt_in_cpcsuhadt,adt,mt,mt,Meditech,in,cpcsuhadt,,12499,*default*,guar_init_out,guar,init,init,Initiate,out,,xrdclpintpah01.unix.medcity.net,18504,6
cpcs_uh_adt,div_efl_dbmo_adt,Cloudera Kafka,HCA 5.6,Cloudera Kafka,adt_mt_in_cpcsuhadt,adt,mt,mt,Meditech,in,cpcsuhadt,,17826,ADT_AXX,adt_kfka_out_hl7dbmncliadt1,adt,kfka,hca,HCA,out,hl7dbmncliadt1,intserv.cloverleaf.hl7-dbmo-adt.1.0.0,,6
hsc_tam0_rpts,hsc_tam0_rpts,HCA 5.6,MPF-Patient Folder/HPF Facility,MPF-Patient Folder/HPF Facility,oerpt_hpf_in_tam0_3,oerpt,hpf,mcksn,McKesson,in,tam0_3,,14246,COCUHA,oerpt_mt_out_cpcsuha,oerpt,mt,mt,Meditech,out,cpcsuha,orclvp01.unix.medcity.net,10659,6
cpcs_uh_adt,hsc_tam0_360e_adt,360 Encompass,HCA 5.6,360 Encompass,adt_mt_in_cpcsuhadt,adt,mt,mt,Meditech,in,cpcsuhadt,,16112,ADT_A17,adt_360e_out_preprod_1,adt,360e,3m,3M,out,preprod_1,10.230.52.208,8840,6
cpcs_uh_adt,hsc_tam0_360e_adt,360 Encompass,HCA 5.6,360 Encompass,adt_mt_in_cpcsuhadt,adt,mt,mt,Meditech,in,cpcsuhadt,,16112,ADT_A17,adt_360e_out_prod_1,adt,360e,3m,3M,out,prod_1,10.230.52.148,8840,6
