Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
div_efl_ipl3_pha,div_efl_ipl3_pha,Theradoc,iPeople MT56,Theradoc,phaadm_ipl_in_cocuh,phaadm,ipl,ippl,iPeople,in,cocuh,,10375,*default*,phaadm_tdoc_out_cocuh,phaadm,tdoc,hspra,Hospira,out,cocuh,xrdctdochl7int01.hca.corpad.net,16116,2
cpcs_uh_oe,cpcs_uh_oe,ReadyTracker-Tissue,HCA 5.6,ReadyTracker-Tissue,orm_mt_in,orm,mt,mt,Meditech,in,,,11502,*default*,orm_rdtr_out,orm,rdtr,ims,IMS Integrated Medical Systems,out,,10.65.69.177,53522,2
cpcs_uh_rad,cpcs_uh_rad,Centricity - CCG PACS,HCA 5.6,Centricity - CCG PACS,radord_mt_in,radord,mt,mt,Meditech,in,,,10511,*default*,radord_pacs_out,radord,pacs,gehc,GE,out,,10.227.120.5,9562,2
cpcs_uh_otr,cpcs_uh_otr,HCA 5.6,Optiflex,Optiflex,chrg_oflx_in,chrg,oflx,omnicl,Omnicell,in,,MSSQL_OPX_UH,,*default*,chrg_mt_out_ofx,chrg,mt,mt,Meditech,out,ofx,FLBA.clinical.medcity.net,,2
cpcs_uh_otr,cpcs_uh_otr,SMART,Optiflex,Optiflex to SMART,mmrepl_oflx_in,mmrepl,oflx,omnicl,Omnicell,in,,MSSQL_OPX_UH,,*default*,mmrepl_smrt_out,mmrepl,smrt,hca,HCA,out,,mmdu.01645.colhca.com,,2
cpcs_uh_otr,cpcs_uh_otr,HCA 5.6,Centricity MUSE,Centricity MUSE,chrg_muse_in,chrg,muse,gehc,GE,in,,,10949,*default*,chrg_mt_out_muse,chrg,mt,mt,Meditech,out,muse,FLBA.clinical.medcity.net,,2
cpcs_uh_oe,cpcs_uh_oe,Centricity MUSE,HCA 5.6,Centricity MUSE,oeord_mt_in,oeord,mt,mt,Meditech,in,,,11134,*default*,oeord_muse_out,oeord,muse,gehc,GE,out,,10.227.89.229,10034,2
cpcs_uh_oe,cpcs_uh_oe,HCA 5.6,Centricity MUSE,Centricity MUSE,oerpt_muse_in,oerpt,muse,gehc,GE,in,,,11135,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,12640,2
cpcs_uh_otr,cpcs_uh_otr,Optiflex,SMART,SMART to Optiflex,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/35940/item,ITEM,multi_oflx_out,multi,oflx,omnicl,Omnicell,out,,MSSQL_OPX_UH,,2
cpcs_uh_otr,cpcs_uh_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/35940/item,CHARGE,mmftp_mt_out,mmftp,mt,mt,Meditech,out,,FLBA.clinical.medcity.net,,2
cpcs_uh_otr,cpcs_uh_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/35940/item,ITEM,mmitem_mt_out,mmitem,mt,mt,Meditech,out,,FLBA.clinical.medcity.net,,2
cpcs_uh_lab,cpcs_uh_lab,HCare Hub,HCA 5.6,HCare Hub,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,11535,*default*,labrslt_mhub_out,labrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40502,2
cpcs_uh_oe,cpcs_uh_oe,HCare Hub,HCA 5.6,HCare Hub,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,13929,*default*,oerpt_mhub_out,oerpt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40503,2
