Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
div_efl_ipl3_pha,div_efl_ipl3_pha,Theradoc,iPeople MT56,Theradoc,phaadm_ipl_in_cocws,phaadm,ipl,ippl,iPeople,in,cocws,,10377,*default*,phaadm_tdoc_out_cocws,phaadm,tdoc,hspra,Hospira,out,cocws,"xrdctdochl7int01.hca.corpad.net ",16036,2
cpcs_ws_rad,cpcs_ws_rad,Centricity - CCG PACS,HCA 5.6,Centricity - CCG PACS,radord_mt_in,radord,mt,mt,Meditech,in,,,10636,*default*,radord_pacs_out,radord,pacs,gehc,GE,out,,10.227.120.5,9760,2
cpcs_ws_rad,cpcs_ws_rad,Centricity - CCG PACS,HCA 5.6,Centricity - CCG PACS,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,10637,*default*,radrslt_pacs_out,radrslt,pacs,gehc,GE,out,,10.227.120.5,9761,2
cpcs_ws_otr,cpcs_ws_otr,HCA 5.6,Optiflex,Optiflex,chrg_oflx_in,chrg,oflx,omnicl,Omnicell,in,,MSSQL_OPX_WS,,*default*,chrg_mt_out_oflx,chrg,mt,mt,Meditech,out,oflx,FLBA.clinical.medcity.net,,2
cpcs_ws_otr,cpcs_ws_otr,SMART,Optiflex,Optiflex to SMART,mmrepl_oflx_in,mmrepl,oflx,omnicl,Omnicell,in,,MSSQL_OPX_WS,,*default*,mmrepl_smrt_out,mmrepl,smrt,hca,HCA,out,,mmdu.01345.colhca.com,,2
cpcs_ws_otr,cpcs_ws_otr,HCA 5.6,Centricity MUSE,Centricity MUSE,chrg_muse_in,chrg,muse,gehc,GE,in,,,10952,*default*,chrg_mt_out_mus,chrg,mt,mt,Meditech,out,mus,FLBA.clinical.medcity.net,,2
cpcs_ws_oe,cpcs_ws_oe,Centricity MUSE,HCA 5.6,Centricity MUSE,oeord_mt_in,oeord,mt,mt,Meditech,in,,,11081,*default*,oeord_muse_out,oeord,muse,gehc,GE,out,,10.227.89.229,10045,2
cpcs_ws_oe,cpcs_ws_oe,HCA 5.6,Centricity MUSE,Centricity MUSE,oerpt_muse_in,oerpt,muse,gehc,GE,in,,,11082,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,12656,2
cpcs_ws_otr,cpcs_ws_otr,Optiflex,SMART,SMART to Optiflex,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/30908/item,ITEM,multi_oflx_out,multi,oflx,omnicl,Omnicell,out,,MSSQL_OPX_WS,,2
cpcs_ws_otr,cpcs_ws_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/30908/item,ITEM,mmitem_mt_out,mmitem,mt,mt,Meditech,out,,FLBA.clinical.medcity.net,,2
