Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
cpcs_xg_otr,cpcs_xg_otr,HCA 5.6,Optiflex,Optiflex,chrg_oflx_in,chrg,oflx,omnicl,Omnicell,in,,MSSQL_OPX_XG,,*default*,chrg_mt_out_ofx,chrg,mt,mt,Meditech,out,ofx,FLKC.clinical.medcity.net,,2
cpcs_xg_otr,cpcs_xg_otr,SMART,Optiflex,Optiflex to SMART,mmrepl_oflx_in,mmrepl,oflx,omnicl,Omnicell,in,,MSSQL_OPX_XG,,*default*,mmrepl_smrt_out,mmrepl,smrt,hca,HCA,out,,mmdu.00476.colhca.com,,2
cpcs_xg_lab,cpcs_xg_lab,LabCorp,HCA 5.6,LabCorp,rlabo_mt_in,rlabo,mt,mt,Meditech,in,,,10858,*default*,rlabo_labc_out,rlabo,labc,labc,LabCorp,out,,10.65.29.33,28265,2
cpcs_xg_lab,cpcs_xg_lab,HCA 5.6,LabCorp,LabCorp,rlabr_labc_in,rlabr,labc,labc,LabCorp,in,,,61348,*default*,rlabr_mt_out,rlabr,mt,mt,Meditech,out,,,10859,2
onbs_op,onbs_op,Onbase,HCA 5.6,Onbase,adt_mt_in_cpcsxj,adt,mt,mt,Meditech,in,cpcsxj,,10235,*default*,adt_onbs_out_3,adt,onbs,hylnd,Hyland,out,3,onbaseprodhl7-jrsc.hca.corpad.net,7003,2
cpcs_xg_otr,cpcs_xg_otr,HCA 5.6,Centricity MUSE,Centricity MUSE,chrg_muse_in,chrg,muse,gehc,GE,in,,,10108,*default*,chrg_mt_out_muse,chrg,mt,mt,Meditech,out,muse,FLKC.clinical.medcity.net,,2
cpcs_xg_oe,cpcs_xg_oe,Centricity MUSE,HCA 5.6,Centricity MUSE,oeord_mt_in,oeord,mt,mt,Meditech,in,,,10107,*default*,oeord_muse_out,oeord,muse,gehc,GE,out,,10.227.89.228,10546,2
cpcs_xg_oe,cpcs_xg_oe,HCA 5.6,Centricity MUSE,Centricity MUSE,oerpt_muse_in,oerpt,muse,gehc,GE,in,,,10109,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,12714,2
cpcs_xg_rad,cpcs_xg_rad,Centricity - CCG PACS,HCA 5.6,Centricity - CCG PACS,radord_mt_in,radord,mt,mt,Meditech,in,,,10824,*default*,radord_pacs_out,radord,pacs,gehc,GE,out,,10.227.120.9,8965,2
cpcs_xg_otr,cpcs_xg_otr,Optiflex,SMART,SMART to Optiflex,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/30996/item,ITEM,multi_oflx_out,multi,oflx,omnicl,Omnicell,out,,MSSQL_OPX_XG,,2
cpcs_xg_otr,cpcs_xg_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/30996/item,ITEM,mmitem_mt_out,mmitem,mt,mt,Meditech,out,,FLKC.clinical.medcity.net,,2
cpcs_xj_oe,mids12,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in_cpcsxj,oerpt,mt,mt,Meditech,in,cpcsxj,,11309,*default*,oerpt_mids_out,oerpt,mids,mids,Midas+,out,,nadcwpdbsmds03.hca.corpad.net,12022,4
mids12,mids12,Care Management-Facility,HCA 5.6,Care Management-Facility,radrslt_mt_in_cpcsxj,radrslt,mt,mt,Meditech,in,cpcsxj,,11310,*default*,radrslt_mids_out,radrslt,mids,mids,Midas+,out,,nadcwpdbsmds03.hca.corpad.net,12023,2
cpcs_xg_oe,cpcs_xg_oe,HCA 5.6,DocEP,DocEP,oerpt_dcep_in,oerpt,dcep,mmdl,AQuity Solutions,in,,,11426,*default*,oerpt_mt_out,oerpt,mt,mt,Meditech,out,,,12714,2
cpcs_xg_lab,cpcs_xg_lab,HCare Hub,HCA 5.6,HCare Hub,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,11565,*default*,labrslt_mhub_out,labrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40542,2
cpcs_xg_oe,cpcs_xg_oe,HCare Hub,HCA 5.6,HCare Hub,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11566,*default*,oerpt_mhub_out,oerpt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40543,2
cpcs_xg_rad,cpcs_xg_rad,HCA 5.6,Centricity - CCG PACS,Centricity - CCG PACS,radurl_pacs_in,radurl,pacs,gehc,GE,in,,,12103,COCXG,radurl_mt_out,radurl,mt,mt,Meditech,out,,165.214.71.12,14558,2
cpcs_xg_oe,cpcs_xg_oe,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,11566,*default*,oerpt_mids_out_diveflmids,oerpt,mids,mids,Midas+,out,diveflmids,orclvp01.unix.medcity.net,12791,6
cpcs_xg_oe,div_efl_mids_oe,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in_cpcsxgoe,oerpt,mt,mt,Meditech,in,cpcsxgoe,,12791,*default*,oerpt_mids_out_divefl_1,oerpt,mids,mids,Midas+,out,divefl_1,orclvp01.unix.medcity.net,10476,6
cpcs_xg_oe,div_efl_mids_oe,Care Management-Facility,HCA 5.6,Care Management-Facility,oerpt_mt_in_1,oerpt,mt,mt,Meditech,in,1,,10476,*default*,oerpt_mids_out,oerpt,mids,mids,Midas+,out,,nadcwpdbsmds03.hca.corpad.net,12121,6
cpcs_xg_otr,cpcs_xg_otr,HCA 5.6,SMART,SMART,multi_smrt_in,multi,smrt,hca,HCA,in,,,/hci/home/smart/30996/item,CHARGE,mmftp_mt_out,mmftp,mt,mt,Meditech,out,,FLKC.clinical.medcity.net,,2
cpcs_xg_lab,cpcs_xg_lab,HCare Hub,HCA 5.6,HCare Hub,pthrslt_mt_in,pthrslt,mt,mt,Meditech,in,,,13865,*default*,pthrslt_mhub_out,pthrslt,mhub,hlthctly,Health Catalyst,out,,EFDVWPAPPHUB01.hcapf.net,40545,2
div_efl_ipl3_edm,div_efl_ipl3_edm,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,edm_ipl_in_cocxg,edm,ipl,ippl,iPeople,in,cocxg,,10361,*default*,edm_bti_out_cocxg,edm,bti,hcaeis,HCA D&IS,out,cocxg,xrdcwpintbzt18c.hca.corpad.net,31012,2
div_efl_ipl3_nuras,div_efl_ipl3_nuras,EIS Biztalk Platform,iPeople MT56,EIS Biztalk Platform,nuras_ipl_in_cocxg,nuras,ipl,ippl,iPeople,in,cocxg,,10374,*default*,nuras_bti_out_cocxg,nuras,bti,hcaeis,HCA D&IS,out,cocxg,xrdcwpintbzt18b.hca.corpad.net,32012,2
